SK_ID_CURR,prediction
206215,0
110836,0
223230,0
259537,0
451925,0
440159,0
393848,0
332443,0
439295,0
253050,0
172764,0
416417,0
232574,0
155454,0
450494,0
248790,0
372864,0
181628,0
166009,0
283787,0
435822,0
233987,0
146750,0
394370,0
419523,0
385831,0
290875,0
127809,0
157816,0
120666,0
108998,0
402066,0
337426,0
170130,0
356347,0
344456,0
376297,0
146896,0
446328,0
347917,0
278792,0
338806,0
155668,0
211262,0
131693,0
338707,0
396339,0
230678,0
438596,0
107062,0
361854,0
284678,0
305943,0
405728,0
210100,0
316544,0
365560,0
333200,0
146696,0
188272,0
144459,0
161431,0
382334,0
362446,0
128475,0
299403,0
122359,0
347970,0
271809,0
414739,0
128063,0
207707,0
316024,0
203482,0
297085,0
123585,0
409698,0
104266,0
355425,0
423605,0
226618,0
140252,0
170399,0
326935,0
252965,0
190159,0
432293,0
166125,0
237859,0
217375,0
411121,0
324328,0
259883,0
391206,0
151762,0
203268,0
408827,0
260279,0
271695,0
266777,0
425022,0
221283,0
374085,0
404028,0
208928,0
294358,0
353376,0
348659,0
191005,0
196522,0
274340,0
243175,0
291272,0
241515,0
435152,0
190921,0
145817,0
431291,0
410333,0
236773,0
184815,0
107874,0
204414,0
133430,0
445447,0
409603,0
361829,0
375812,0
427977,0
158256,0
188984,0
194664,1
219540,0
393183,0
218860,0
145561,0
112426,0
199957,0
388709,0
313031,0
150942,0
227820,0
393508,0
129195,0
336655,0
103360,0
417361,0
109972,0
362802,0
177181,0
286818,0
315297,0
301709,0
313385,0
325142,0
433576,0
336713,0
336379,0
129709,0
133738,0
217916,0
362536,0
241320,0
313641,0
393342,0
254413,0
413121,0
261943,0
143870,0
384623,0
371432,0
104157,0
447223,0
289645,0
297972,0
133596,0
167161,0
163002,0
133159,0
357251,0
138622,0
218255,0
310747,0
428548,0
369442,0
212704,0
333598,0
115366,0
168114,0
228473,0
300035,0
139420,0
189667,0
307637,0
223597,0
411005,0
381394,0
376105,0
335464,0
195935,0
148051,0
165276,0
398846,0
310304,0
276531,0
282556,0
218436,0
244325,0
333694,0
329212,0
155277,0
318734,0
348549,0
285676,0
262378,0
369309,0
393605,0
425744,0
246238,0
199568,0
147414,0
190126,0
153805,0
216609,0
384941,0
441182,0
354555,0
431455,0
392799,0
326147,0
350390,0
365850,0
258326,0
234857,0
410554,0
394719,0
297938,0
427799,0
431099,0
262962,0
142182,0
204570,0
316404,0
309017,0
116734,0
182753,0
208961,0
380027,0
144964,0
195219,0
243799,0
180192,0
368081,0
408153,0
247778,0
298594,0
415214,0
325990,0
279870,0
221433,0
447071,0
347632,0
347713,0
433446,0
399962,0
367394,0
102437,0
339553,0
416919,0
393963,0
253879,0
413666,0
437059,0
422347,0
400271,0
268442,0
312253,0
242788,0
333424,0
267273,0
263225,0
264266,0
315785,0
196116,0
104662,0
233618,0
378849,0
185226,0
415170,0
257237,0
138937,0
336133,0
376612,0
172280,0
208460,0
172835,0
419314,0
325337,0
282899,0
226252,0
409465,0
427545,0
341533,0
394489,0
233238,0
141197,0
263079,0
201828,0
184277,0
126930,0
446925,0
159784,0
149447,0
330760,0
434080,0
170098,0
456027,0
431760,0
239390,0
136590,0
282529,0
400527,0
440328,0
351523,0
419272,0
454394,0
135896,0
143121,0
313559,0
216457,0
406741,0
140843,0
331443,0
409263,0
189120,0
119753,0
261322,0
419482,0
212801,0
167700,0
205090,0
422101,0
434305,0
232345,0
210340,0
224129,0
441371,0
341858,0
205725,0
193577,0
114534,0
424623,0
312358,0
451783,0
400397,0
219701,0
205713,0
180725,0
339032,0
232958,0
191503,0
163244,0
338553,0
134868,0
123936,0
423261,0
278546,0
339695,0
429262,0
137995,0
240695,0
392918,0
181748,0
339282,0
440890,0
362667,0
291236,0
319924,0
247151,0
118182,0
290046,0
317652,0
136766,0
155836,0
111769,0
416536,0
113840,0
130973,0
368362,0
355186,0
251381,0
393295,0
249380,0
113230,0
442678,0
211406,0
181991,0
163596,0
189709,0
229383,0
280087,0
167010,0
410864,0
124963,0
359433,0
147906,0
333337,0
161615,0
170035,0
268505,0
334696,0
171565,0
249352,0
303000,0
238326,0
104997,0
345066,0
430480,0
111283,0
127529,0
225556,0
144495,0
334262,0
374313,0
433624,0
413453,0
449781,0
335488,0
395149,0
415287,0
262211,0
155889,0
451046,0
150140,0
146468,0
428273,0
288536,0
278699,0
404752,0
225704,0
262423,0
279525,0
253991,0
105491,0
332032,0
368301,0
319771,0
421319,0
451149,0
293523,0
349367,0
108191,0
182797,0
260455,0
236593,0
424460,0
440630,0
209005,0
391536,0
380994,0
243242,0
211260,0
408433,0
309123,0
140135,0
227350,0
247820,0
386083,0
328267,0
420576,0
147887,0
144290,0
401633,0
339768,0
317991,0
154197,0
145069,0
151484,0
264210,0
216244,0
426519,0
221557,0
207948,0
113641,0
254741,0
451198,0
407467,0
103597,0
301952,0
443223,0
108785,0
410365,0
352235,0
437445,0
405338,0
449510,0
298739,0
366281,0
335628,0
234285,0
174049,0
194083,0
278347,0
290319,0
446495,0
454614,0
315962,0
374834,0
311160,0
142077,0
143733,0
327482,0
337081,0
367979,0
106890,0
271048,0
126556,0
295341,0
249663,0
379971,0
328407,0
443731,0
